RA_UVIT (deg),RA_std (deg),DEC_UVIT (deg),DEC_std (deg),F148W_AB,F148W_err,F172M_AB,F172M_err,N219M_AB,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err,Field,Seq,Source_ID,f,p,c,RAJ2000,DEJ2000,U_vega,B_vega,V_vega,R_vega,I_vega,J_vega,H_vega,K_vega,NUV,NUV_err,FUV,FUV_err,Vr,e_Vr,E_B-V_1,e_E_B-V_1,E_B-V_2,r_E_B-V_2,__Fe_H_,Hbet,x,y,Rp,SimbadName,Separation
10.57242072,5.67E-04,41.31559314,2.86E-04,99.99,99.99,24.95564113,0.538126056,99.99,99.99,99.99,99.99,25.34873019,0.536974252,1,?,B084,1,0,1,10.57270417,41.31550556,20.134,19.401,18.155,17.343,16.598,15.284,14.459,13.997,,,,,-326,10,0.26,0.04,0.62,0,,,-0.92,5.68,1.31,Bol 084,0.828737036
10.57770782,1.85E-05,41.23386992,5.54E-05,19.61068114,0.07228148,19.41694397,0.051850885,19.00240711,0.058646448,18.09103302,0.055001697,19.66216788,0.047085254,1,?,B086,1,0,1,10.57772083,41.233925,15.985,15.899,15.131,14.661,14.091,13.394,12.838,12.761,18.697,0.02,19.614,0.047,-189,21,0.15,0.01,0.13,0,-1.8,2.55,-4.64,2.5,1.2,Bol 086,0.201392668
10.59047291,8.81E-05,41.36809041,1.08E-04,21.82684983,0.085812687,21.31673739,0.105082618,21.24135076,0.138921163,20.32997667,0.137422234,21.94066077,0.11468269,1,?,B091,1,0,1,10.59045833,41.36816667,18.459,18.36,17.56,17.651,17.273,,,,20.809,0.051,22.036,0.14,-290,12,,,0.25,1,,7.47,2.07,7,1.66,Bol 091,0.277333376
10.59317901,8.43E-05,41.13582989,8.58E-05,22.67363584,0.101331346,22.51408568,0.177178594,22.55355823,0.24895267,21.64218415,0.248119351,22.52758246,0.148621615,1,?,B092,1,0,0,10.593225,41.13574167,18.11,17.83,16.92,16.46,15.74,15.165,14.557,14.743,21.167,0.094,,,-431,38,0.12,0.02,0.11,0,-1.14,1.79,-8.85,-1.68,2.05,Bol 092,0.341211832
10.59647209,1.10E-04,41.36199275,1.23E-04,24.50047518,0.183721861,23.34755408,0.258003699,23.01541008,0.306982029,22.104036,0.306306623,24.10096563,0.303050927,1,?,B093,1,0,1,10.59639167,41.36210278,18.13,17.84,16.87,16.18,15.66,14.456,13.872,13.601,22.291,0.175,,,-447,12,0.3,0.02,0.39,0,-0.74,3.14,1.94,6.56,1.56,Bol 093,0.451794961
10.6078604,4.63E-04,41.09327377,2.44E-04,24.87055526,0.213238225,99.99,99.99,25.01864119,0.768349362,24.1072671,0.768079763,24.4798041,0.360415292,1,?,B095,1,0,0,10.60775,41.09340833,17.46,16.76,15.81,15.371,14.68,13.05,,12.46,22.39,0.24,,,-233,10,0.43,0.04,0.46,0,-0.79,1.62,-10.45,-3.76,2.53,Bol 095,0.569549898
10.60873377,3.74E-04,41.32093526,4.31E-04,99.99,99.99,25.00478948,0.550405532,99.99,99.99,99.99,99.99,24.45104982,0.355699492,1,?,B096,1,0,1,10.60866667,41.320775,18.56,17.72,16.61,15.85,15.13,13.814,13.082,12.82,21.7,0.132,22.224,0.17,-260,20,0.26,0.02,0.63,0,-0.23,1.44,0.33,4.6,1.05,Bol 096,0.604786245
10.614481,1.99E-04,41.42555005,1.92E-04,24.51182692,0.184545182,24.6463244,0.466928817,22.90657329,0.292159212,21.9951992,0.291449457,26.09664584,0.757317976,1,?,B097,1,0,1,10.61439583,41.42560556,18.15,17.95,16.85,16.18,15.48,14.55,13.936,13.771,,,,,-283,11,0.29,0.01,0.34,0,-0.95,2.87,5.45,8.27,2.25,Bol 097,0.304577738
10.61492388,3.86E-05,41.16747781,9.30E-05,22.30092943,0.093326638,22.06592103,0.145226071,21.74803167,0.173507148,20.83665758,0.172309347,22.68383314,0.159375975,1,?,B099,1,0,0,10.61505833,41.16761111,17.89,17.59,16.74,16.21,15.42,14.54,13.985,13.59,20.814,0.112,,,-200,11,0.16,0.03,0.16,0,-0.86,1.77,-6.74,-1.28,1.56,Bol 099,0.602528172
10.62083332,2.75E-05,41.13768882,6.56E-05,21.29578574,0.08007977,21.05690388,0.094288536,21.09894323,0.130634881,20.18756914,0.129039734,21.33067447,0.08828897,1,?,B101,1,0,1,10.62094583,41.13771389,18.06,17.68,16.87,16.28,15.65,14.676,14.078,13.957,20.536,0.064,21.267,0.126,-489,68,0.17,0.02,0.13,0,,,-7.99,-2.59,1.91,Bol 101,0.318130869
10.62385115,7.81E-05,41.29926952,1.08E-04,22.37166939,0.094688945,22.38441419,0.167221608,21.65653568,0.166622119,20.7451616,0.165374458,22.61238159,0.154359232,1,?,B103,1,0,1,10.62387917,41.29933889,16.63,16.25,15.23,14.66,13.92,12.824,12.099,11.937,21.195,0.135,22.65,0.27,-334,10,0.19,0.02,0.34,0,-0.43,1.56,-0.26,3.27,0.75,Bol 103,0.260983304
10.62472792,3.90E-05,41.29039993,5.21E-05,22.23206154,0.092065379,21.4141102,0.109503808,21.86643669,0.182875604,20.9550626,0.181739559,22.80793659,0.168502663,1,?,B104,1,0,1,10.62488333,41.29043333,18.489,18.285,17.51,16.957,16.86,16.225,16.08,15.233,21.09,0.156,22.045,0.19,-395,10,0.04,0.01,0.2,0,,,-0.66,2.9,0.68,Bol 104,0.437229687
10.62928416,7.50E-05,41.20503058,6.79E-05,24.49255953,0.183150662,24.05813046,0.356679049,22.6046759,0.254775942,21.69330182,0.253961732,23.8758743,0.273446333,1,?,B106,1,0,0,10.62931667,41.20510833,17.6,17,16.03,15.46,14.77,13.98,13.222,13.149,21.744,0.164,,,-102,25,0.12,0.02,0.22,0,-0.81,0.67,-4.57,-0.4,1.05,Bol 106,0.29344315
10.63019646,4.97E-05,41.32739061,9.13E-05,20.70243548,0.076013755,21.04208836,0.093714761,20.51364139,0.102099168,19.6022673,0.100050092,21.14978416,0.081880112,1,?,B107,1,0,1,10.63022917,41.32746389,17.23,16.725,15.94,15.29,14.66,13.718,13.018,12.914,20.338,0.044,20.961,0.076,-337,23,0.28,0.02,0.22,0,-1.2,2.02,1.24,4.08,0.97,Bol 107,0.278214677
10.63025475,4.92E-04,41.14774458,2.36E-04,99.99,99.99,99.99,99.99,23.43762932,0.372149498,22.52625524,0.371592558,99.99,99.99,1,?,B108,1,0,0,10.62989167,41.14760556,18.976,18.36,17.47,16.77,15.89,15.06,14.314,14.25,,,,,-548,11,0.46,0.05,0.22,0,,,-7.27,-2.55,1.76,Bol 108,1.104211584
10.6340775,5.05E-04,41.17448676,1.96E-04,25.45794718,0.273103871,23.83050349,0.321456756,99.99,99.99,99.99,99.99,99.99,99.99,1,?,B109,1,0,1,10.63402917,41.17440833,18.25,17.34,16.22,15.64,14.9,13.868,13.167,12.947,,,,,-372,12,0.08,0.02,0.2,0,,,-5.89,-1.7,1.4,Bol 109,0.311239222
10.63861218,3.83E-04,41.29544332,2.88E-04,23.86235113,0.144682582,99.99,99.99,99.99,99.99,99.99,99.99,99.99,99.99,1,?,B112,1,0,1,10.6385125,41.29510556,18.07,17.33,16.26,15.56,14.97,13.594,12.84,12.618,,,,,-237,20,0.14,0.02,0.13,3,0.13,2.09,-0.06,2.59,0.59,Bol 112,1.245478107
