Source_ID,f275w_ul,f275w_vega,f275w_err_orig,f275w_err,f336w_ul,f336w_vega,f336w_err_orig,f336w_err,f475w_ul,f475w_vega,f475w_err_orig,f475w_err,f814w_ul,f814w_vega,f814w_err_orig,f814w_err,f110w_ul,f110w_vega,f110w_err_orig,f110w_err,f160w_ul,f160w_vega,f160w_err_orig,f160w_err,F148W_AB,F148W_err_orig,F148W_err,F172M_AB,F172M_err_orig,F172M_err,N219M_AB,N219M_err_orig,N219M_err,N279N_AB,N279N_err,F169M_AB,F169M_err_1,F169M_err,Separation_1,Region
2769,,17.48,0.01,0.02236068,,17.71,0.02,0.028284271,,19,0.04,0.04472136,,18.64,0.12,0.121655251,>,18.29,0.1503876,0.15848164,>,17.33,0.15390909,0.161827093,19.2921397,0.027367735,0.056999938,19.20413622,0.057829123,0.115517131,19.17123907,0.060760671,0.117012218,,,,,,0.242627025,2
2893,,19.18,0.07,0.072801099,,19.4,0.07,0.072801099,,20.62,0.16,0.161245155,>,19.19,0.13882075,0.140254057,>,18.07,0.1503876,0.15848164,>,17.02,0.15390909,0.161827093,20.61027214,0.080373166,0.094656462,20.57573323,0.113813391,0.151504086,22.14087177,0.201621243,0.225058049,,,,,,0.454275569,7
2932,,18.74,0.01,0.02236068,,19.01,0.01,0.02236068,,19.84,0.07,0.072801099,,18.6,0.14,0.141421356,,18.02,0.12,0.13,,17.3,0.17,0.177200451,20.67424224,0.035041858,0.061056792,21.1955621,0.117582253,0.154355389,20.48041777,0.101044655,0.142161958,,,,,,0.094563346,2
3047,,17.28,0.01,0.02236068,,17.28,0.01,0.02236068,,18.47,0.01,0.02236068,,18.21,0.04,0.04472136,>,18.6,0.1503876,0.15848164,>,17.75,0.15390909,0.161827093,19.25628978,0.027256988,0.056946847,19.52552549,0.063487432,0.118451062,19.67601703,0.073082006,0.123858708,,,,,,0.250333082,2
3085,,17.76,0.03,0.036055513,,17.97,0.03,0.036055513,,19.3,0.04,0.04472136,,18.5,0.11,0.111803399,,16.65,0.04,0.064031242,,15.19,0.03,0.058309519,19.57783036,0.028373491,0.057489608,20.09940678,0.076789655,0.126081922,19.39901812,0.065895562,0.119759029,,,,,,0.180508037,2
3146,,17.78,0.02,0.028284271,,18,0.02,0.028284271,,19.41,0.03,0.036055513,>,19.12,0.13882075,0.140254057,>,17.94,0.1503876,0.15848164,>,17.01,0.15390909,0.161827093,19.52973786,0.072122628,0.087759179,19.19028562,0.048552932,0.111163785,19.45949939,0.068184674,0.121033672,,,19.43172137,0.043871749,0.109200414,0.552162042,1
3155,,15.5,0.01,0.02236068,,15.85,0.01,0.02236068,,17.26,0.04,0.04472136,,17.19,0.16,0.161245155,>,16.59,0.1503876,0.15848164,>,15.65,0.15390909,0.161827093,18.02029268,0.070562788,0.086481831,17.62358883,0.03560857,0.106150696,17.71968243,0.04286649,0.108800441,,,17.91176661,0.031518975,0.104849634,0.113329322,1
3273,,20.97,0.09,0.092195445,,20.95,0.07,0.072801099,,21.49,0.07,0.072801099,>,20.06,0.13882075,0.140254057,>,19.34,0.1503876,0.15848164,>,18.41,0.15390909,0.161827093,22.78242943,0.072108155,0.087747285,22.94691008,0.252878592,0.271933047,22.70769749,0.270707405,0.288587074,,,,,,0.368722772,2
3286,,19.5,0.02,0.028284271,,19.63,0.12,0.121655251,,20.49,0.05,0.053851648,>,19.78,0.13882075,0.140254057,>,18.47,0.1503876,0.15848164,>,17.63,0.15390909,0.161827093,21.68688461,0.047467867,0.068943443,22.2169886,0.182508733,0.208109196,22.85976224,0.290109593,0.306860841,,,,,,0.502418145,2
3388,,19.73,0.01,0.02236068,,19.47,0.03,0.036055513,,20.44,0.08,0.082462113,>,19.33,0.13882075,0.140254057,>,18.7,0.1503876,0.15848164,>,18.64,0.15390909,0.161827093,21.97266109,0.127429128,0.136887482,21.80052439,0.178840078,0.204899423,21.95425541,0.171590003,0.198602943,,,,,,0.118171817,13
3488,,20.12,0.04,0.04472136,,20.11,0.01,0.02236068,,20.69,0.06,0.063245553,>,20.15,0.13882075,0.140254057,>,19.27,0.1503876,0.15848164,>,19.28,0.15390909,0.161827093,22.11415432,0.090047647,0.102997955,21.7061497,0.124114913,0.159387928,21.89034248,0.184832064,0.210149689,,,22.69006474,0.159821602,0.188528365,0.28490879,1
3578,,17.94,0.02,0.028284271,,18.04,0.01,0.02236068,,19.13,0.02,0.028284271,,18.97,0.13,0.131529464,>,18.46,0.1503876,0.15848164,>,17.22,0.15390909,0.161827093,19.85471924,0.072836028,0.088346403,19.91578402,0.060938319,0.117104563,19.66540859,0.073378224,0.12403372,,,19.76290462,0.048637621,0.111200801,0.229353048,1
3704,,17.14,0.044584837,0.048865199,,15.88,0.038844764,0.04369114,,15.16,0.05525,0.05875851,,13.41,0.01,0.02236068,,12.71,0.02,0.053851648,,11.98,0.02,0.053851648,21.3240505,0.080327631,0.094617801,21.01232158,0.092574964,0.136272242,20.22440657,0.090831114,0.135093639,,,21.15522833,0.082064566,0.129362255,0.203884119,1
3709,,18.7,0.08,0.082462113,,18.85,0.31,0.310644491,,19.87,0.17,0.171172428,>,18.61,0.13882075,0.140254057,,16.91,0.13,0.139283883,,15.63,0.07,0.086023253,21.39212136,0.099992014,0.111796256,20.6964706,0.111629676,0.149870559,21.29658742,0.129412365,0.163546814,,,,,,0.440578229,13
3729,,18.74,0.01,0.02236068,,18.97,0.03,0.036055513,,20.28,0.08,0.082462113,,20.19,0.36,0.360555128,>,19.19,0.1503876,0.15848164,>,18.27,0.15390909,0.161827093,20.6305214,0.080898929,0.095103295,20.37936026,0.105406065,0.145294317,22.03877381,0.192782335,0.217175111,,,,,,0.380542665,7
3924,,17.3,0.06,0.063245553,,17.65,0.07,0.072801099,,18.94,0.18,0.181107703,,18.26,0.08,0.082462113,>,15.35,0.1503876,0.15848164,>,15.41,0.15390909,0.161827093,19.24305922,0.027216921,0.05692768,20.23101901,0.080513306,0.12838377,19.30048991,0.063593189,0.118507779,,,,,,0.180493682,2
3938,,19.89,0.04,0.04472136,,19.93,0.02,0.028284271,,20.51,0.08,0.082462113,,19.09,0.12,0.121655251,,18.73,0.33,0.333766385,>,17.82,0.15390909,0.161827093,21.80428545,0.085517545,0.099061852,21.4811232,0.112673116,0.150649365,22.10587832,0.203511599,0.226753106,,,21.55587134,0.097123101,0.139401925,0.121472135,1
4000,,16.83,0.16,0.161245155,,17.05,0.12,0.121655251,,18.51,0.16,0.161245155,,18.84,0.26,0.260768096,>,18.11,0.1503876,0.15848164,>,17.19,0.15390909,0.161827093,18.67233629,0.025845299,0.056284807,18.77987137,0.051958226,0.112692756,18.245779,0.045756707,0.109971252,,,,,,0.222585348,2
4049,,18.69,0.01,0.02236068,,18.9,0.02,0.028284271,,20.36,0.01,0.02236068,>,20.84,0.13882075,0.140254057,>,18.18,0.1503876,0.15848164,>,17.64,0.15390909,0.161827093,20.32727546,0.03234156,0.059548102,20.74764026,0.098024724,0.140031591,20.33495416,0.095096514,0.137997634,,,,,,0.168324352,2
4105,,19.97,0.04,0.04472136,,20.03,0.05,0.053851648,,20.78,0.07,0.072801099,>,20.11,0.13882075,0.140254057,>,18.77,0.1503876,0.15848164,>,17.95,0.15390909,0.161827093,21.9748364,0.133356788,0.142422024,21.47793221,0.165483342,0.193351329,22.8530397,0.276867375,0.294373136,,,,,,0.344043931,7
4280,,20.4,0.08,0.082462113,,20.49,0.07,0.072801099,,21.44,0.11,0.111803399,>,23.56,0.13882075,0.140254057,>,19.42,0.1503876,0.15848164,>,18.43,0.15390909,0.161827093,22.49073789,0.159534587,0.167186376,22.0340415,0.198300866,0.222088346,21.7773818,0.158878465,0.187729504,,,,,,0.170290211,13
4307,,17.73,0.01,0.02236068,,17.97,0.02,0.028284271,,19.18,0.01,0.02236068,,18.81,0.15,0.15132746,,18.16,0.09,0.102956301,,17.43,0.12,0.13,19.91356369,0.029880795,0.058248278,20.0648502,0.07585689,0.125516006,19.44914716,0.067116424,0.120435104,,,,,,0.157262274,2
4633,,17.3,0.05,0.053851648,,17.68,0.02,0.028284271,,19.28,0.09,0.092195445,,19.15,0.04,0.04472136,,19.11,0.35,0.353553391,>,18.51,0.15390909,0.161827093,18.93709357,0.045736309,0.067762895,18.67406815,0.055812084,0.114520691,18.81006235,0.055165908,0.114207169,,,,,,0.302158933,13
4846,,19.16,0.02,0.028284271,,19.35,0.02,0.028284271,,20.47,0.03,0.036055513,,20.12,0.29,0.290688837,,18.61,0.2,0.206155281,,17.57,0.15,0.158113883,20.68761452,0.035159283,0.06112426,21.26753519,0.121163157,0.15710032,21.04588698,0.128719288,0.162998942,,,,,,0.315442174,2
5117,,18.27,0.01,0.02236068,,17.54,0.01,0.02236068,,17.06,0.01,0.02236068,,15.55,0.04,0.04472136,,14.98,0.05,0.070710678,,14.33,0.07,0.086023253,22.13163721,0.090335909,0.103250068,21.40902105,0.109267395,0.148119423,20.265215,0.092320457,0.136099474,,,22.08098127,0.121949276,0.157707406,0.177787808,1
5131,,19.93,0.06,0.063245553,,19.91,0.04,0.04472136,,20.31,0.06,0.063245553,>,19.14,0.13882075,0.140254057,>,18.27,0.1503876,0.15848164,>,17.23,0.15390909,0.161827093,22.2336646,0.092094028,0.104791746,22.18444005,0.153022334,0.182799986,21.43509128,0.151158134,0.181242328,,,22.37835051,0.139069127,0.171289877,0.427015527,1
5277,,19.18,0.02,0.028284271,,19.46,0.02,0.028284271,,20.7,0.1,0.10198039,>,20.52,0.13882075,0.140254057,>,19.28,0.1503876,0.15848164,>,17.78,0.15390909,0.161827093,20.63322121,0.03468816,0.060854486,21.28322026,0.121960917,0.157716408,20.26641315,0.092441895,0.136181878,,,,,,0.387387377,2
6039,,19.87,0.04,0.04472136,,19.02,0.07,0.072801099,,18.62,0.11,0.111803399,,17.01,0.19,0.191049732,,16.38,0.29,0.294278779,,15.59,0.32,0.323882695,22.73564335,0.102874815,0.114381937,22.28723568,0.160152086,0.188808609,21.94796004,0.189639934,0.214390542,,,22.56016083,0.150798649,0.180942622,0.299224478,1
